fa	eb_avg	pout_w	pin_active	pin_reactive
0	157	358	383	30
15	155.2	280	300.8	86.74
30	147.2	145	154.9	89.07
45	118.1	116.4	127.1	127.9
55	95.55	94	102.6	148.4
60	81.83	80.41	87.62	147.7
65	66.98	66.37	73.39	164.3
70	52.71	52.22	56.56	169
75	38.74	38.8	44.43	173.7
80	24.97	25.58	41.48	177.7
85	9.1	10.53	17.2	181.2
87.5	-0.573	2.123	8.926	188.2
88	-0.52	1.274	9.343	188.3
90	-7.423	-5.766	2.251	188.4
105	-56.56	-55.12	-43.45	183.5
120	-104.8	-103.2	-93.12	168.6
135	-144	-141.3	-135.2	137.7
150	-148.8	-13.42	-13.47	12.31